2023-03-04T18-20-55: LogOut_File: : logfile started
2023-03-04T18-20-55: Net Status: low-level initialize success.
2023-03-04T18-20-55: Note: this version (1/29/2017) has new data fields added
2023-03-04T18-20-55: time = time since start of game in ms.
2023-03-04T18-20-55: address = address of IP address
2023-03-04T18-20-55: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2023-03-04T18-20-55: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2023-03-04T18-20-55: app_ctos = client to server bytes delta excluding overheads (app data only)
2023-03-04T18-20-55: app_stoc = server to client bytes delta excluding overheads (app data only)
2023-03-04T18-20-55: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2023-03-04T18-20-55: sent = number of packets sent. Spikes can indicate lag.
2023-03-04T18-20-55: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2023-03-04T18-20-55: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2023-03-04T18-20-55: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2023-03-04T18-20-55: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2023-03-04T18-20-55: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2023-03-04T18-20-55: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2023-03-04T18-20-55: Latency in Window = The average Latency in ms. of Reliable packets during this time slice
2023-03-04T18-20-55: Packet Loss percentage in Window = The packet loss percentage of Reliable packets during this time slice
2023-03-04T18-20-55: Jitter in Window = The average Jitter in ms. of Reliable packets during this time slice
2023-03-04T18-20-55: Overall Latency Min = The lowest Latency seen in ms. of Reliable packets up to this point in time
2023-03-04T18-20-55: Overall Latency Max = The largest Latency seen in ms. of Reliable packets up to this point in time
2023-03-04T18-20-55: Latency Min in Window = The lowest Latency seen in ms. of Reliable packets during this time slice
2023-03-04T18-20-55: Latency Max in Window = The largest Latency seen in ms. of Reliable packets during this time slice
2023-03-04T18-20-55: Latency packet samples = number of packets used in determining average latency from start of game
2023-03-04T18-20-55: Jitter packet samples = number of packets used in determining average jitter from start of game
2023-03-04T18-20-55: reconnect = flag to indicate one or more reconnects occurred
2023-03-04T18-20-55: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)], [Latency in Window], [Packet Loss percentage in Window], [Jitter in Window], [Overall Latency Min], [Overall Latency Max], [Latency Min in Window], [Latency Maxin Window], [Latency packet Samples], [Jitter Packet Samples],[reconnect]
300153,X.X.X.X,1823072,446193,16674,80366,0,5387,126,0,0,0,0,0,126,0.000000,3,126,126,126,126,5382,5382,0
310164,X.X.X.X,1903652,465364,19171,80580,0,5655,126,0,0,0,0,0,126,0.000000,3,126,126,126,126,5647,5647,0
320169,X.X.X.X,2003863,486416,21052,100211,0,5938,126,0,0,0,0,0,126,0.000000,2,126,126,126,126,5931,5931,0
330171,X.X.X.X,2108367,507004,20588,104504,0,6210,125,0,0,0,0,0,125,0.000000,3,125,125,125,125,6202,6202,0
340178,X.X.X.X,2213072,528031,21027,104705,0,6495,128,0,0,0,0,0,128,0.000000,4,128,128,128,128,6487,6487,0
350181,X.X.X.X,2330402,549558,21527,117330,0,6778,127,0,0,0,0,0,127,0.000000,3,127,127,127,127,6771,6771,0
360188,X.X.X.X,2450771,571850,22292,120369,0,7075,126,0,0,0,0,0,126,0.000000,3,126,126,126,126,7066,7066,0
370194,X.X.X.X,2552748,593419,21569,101977,0,7369,125,0,0,0,0,0,125,0.000000,2,125,125,125,125,7361,7361,0
380195,X.X.X.X,2672450,615570,22151,119702,0,7662,128,0,0,0,0,0,128,0.000000,3,128,128,128,128,7654,7654,0
390197,X.X.X.X,2784142,637223,21653,111692,0,7949,125,0,0,0,0,0,125,0.000000,2,125,125,125,125,7941,7941,0
400199,X.X.X.X,2898985,659429,22206,114843,0,8236,134,0,0,0,0,0,134,0.000000,4,134,134,134,134,8228,8228,0
410202,X.X.X.X,3006258,680703,21274,107273,0,8504,127,0,0,0,0,0,127,0.000000,4,127,127,127,127,8498,8498,0
420208,X.X.X.X,3113339,702351,21648,107081,0,8802,126,0,0,0,0,0,126,0.000000,3,126,126,126,126,8792,8792,0
430212,X.X.X.X,3247091,724767,22416,133752,0,9087,126,0,0,0,0,0,126,0.000000,3,126,126,126,126,9081,9081,0
440218,X.X.X.X,3359745,747310,22543,112654,0,9386,127,0,0,0,0,0,127,0.000000,3,127,127,127,127,9380,9380,0
450224,X.X.X.X,3477824,769144,21834,118079,0,9681,126,0,0,0,0,0,126,0.000000,3,126,126,126,126,9674,9674,0
460224,X.X.X.X,3590468,790091,20947,112644,0,9965,132,0,0,0,0,0,132,0.000000,4,132,132,132,132,9959,9959,0
470230,X.X.X.X,3702312,811562,21471,111844,0,10249,136,0,0,0,0,0,136,0.000000,3,136,136,136,136,10242,10242,0
480236,X.X.X.X,3827167,861787,50225,124855,0,10586,140,0,0,0,0,0,140,0.000000,3,140,140,140,140,10579,10579,0
490242,X.X.X.X,3977812,885284,23497,150645,0,10878,153,0,0,0,0,0,153,0.000000,5,153,153,153,153,10869,10869,0
500249,X.X.X.X,4103725,908108,22824,125913,0,11169,126,0,0,0,0,0,126,0.000000,3,126,126,126,126,11163,11163,0
510251,X.X.X.X,4222112,928472,20364,118387,0,11420,126,0,0,0,0,0,126,0.000000,3,126,126,126,126,11413,11413,0
520255,X.X.X.X,4290311,943554,15082,68199,0,11603,127,0,0,0,0,0,127,0.000000,5,127,127,127,127,11597,11597,0
530262,X.X.X.X,4391338,961529,17975,101027,0,11831,134,0,0,0,0,0,134,0.000000,9,134,134,134,134,11824,11824,0
540263,X.X.X.X,4484848,979593,18064,93510,0,12071,130,0,0,0,0,0,130,0.000000,6,130,130,130,130,12065,12065,0
550263,X.X.X.X,4594631,999020,19427,109783,0,12331,139,0,0,0,0,0,139,0.000000,4,139,139,139,139,12323,12323,0
560268,X.X.X.X,4696545,1019807,20787,101914,0,12597,143,0,0,0,0,0,143,0.000000,4,143,143,143,143,12590,12590,0
570269,X.X.X.X,4802052,1040940,21133,105507,0,12868,142,0,0,0,0,0,142,0.000000,4,142,142,142,142,12861,12861,0
580270,X.X.X.X,4886763,1060184,19244,84711,0,13121,136,0,0,0,0,0,136,0.000000,11,136,136,136,136,13114,13114,0
590270,X.X.X.X,4990999,1081355,21171,104236,0,13400,128,0,0,0,0,0,128,0.000000,4,128,128,128,128,13391,13391,0
600273,X.X.X.X,5127166,1103109,21754,136167,0,13669,133,0,0,0,0,0,133,0.000000,10,133,133,133,133,13664,13664,0
610280,X.X.X.X,5231871,1123774,20665,104705,0,13930,126,0,0,0,0,0,126,0.000000,2,126,126,126,126,13923,13923,0
620287,X.X.X.X,5337854,1144646,20872,105983,0,14180,127,0,0,0,0,0,127,0.000000,3,127,127,127,127,14174,14174,0
630288,X.X.X.X,5460341,1166684,22038,122487,0,14471,127,0,0,0,0,0,127,0.000000,4,127,127,127,127,14464,14464,0
640292,X.X.X.X,5552623,1187014,20330,92282,0,14755,133,0,0,0,0,0,133,0.000000,3,133,133,133,133,14747,14747,0
650295,X.X.X.X,5664018,1206883,19869,111395,0,15011,127,0,0,0,0,0,127,0.000000,4,127,127,127,127,15004,15004,0
660297,X.X.X.X,5764899,1226537,19654,100881,0,15274,126,0,0,0,0,0,126,0.000000,3,126,126,126,126,15267,15267,0
670299,X.X.X.X,5850401,1244587,18050,85502,0,15518,129,0,0,0,0,0,129,0.000000,7,129,129,129,129,15511,15511,0
