2023-03-04T16-40-03: LogOut_File: : logfile started
2023-03-04T16-40-03: Net Status: low-level initialize success.
2023-03-04T16-40-03: Note: this version (1/29/2017) has new data fields added
2023-03-04T16-40-03: time = time since start of game in ms.
2023-03-04T16-40-03: address = address of IP address
2023-03-04T16-40-03: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2023-03-04T16-40-03: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2023-03-04T16-40-03: app_ctos = client to server bytes delta excluding overheads (app data only)
2023-03-04T16-40-03: app_stoc = server to client bytes delta excluding overheads (app data only)
2023-03-04T16-40-03: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2023-03-04T16-40-03: sent = number of packets sent. Spikes can indicate lag.
2023-03-04T16-40-03: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2023-03-04T16-40-03: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2023-03-04T16-40-03: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2023-03-04T16-40-03: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2023-03-04T16-40-03: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2023-03-04T16-40-03: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2023-03-04T16-40-03: Latency in Window = The average Latency in ms. of Reliable packets during this time slice
2023-03-04T16-40-03: Packet Loss percentage in Window = The packet loss percentage of Reliable packets during this time slice
2023-03-04T16-40-03: Jitter in Window = The average Jitter in ms. of Reliable packets during this time slice
2023-03-04T16-40-03: Overall Latency Min = The lowest Latency seen in ms. of Reliable packets up to this point in time
2023-03-04T16-40-03: Overall Latency Max = The largest Latency seen in ms. of Reliable packets up to this point in time
2023-03-04T16-40-03: Latency Min in Window = The lowest Latency seen in ms. of Reliable packets during this time slice
2023-03-04T16-40-03: Latency Max in Window = The largest Latency seen in ms. of Reliable packets during this time slice
2023-03-04T16-40-03: Latency packet samples = number of packets used in determining average latency from start of game
2023-03-04T16-40-03: Jitter packet samples = number of packets used in determining average jitter from start of game
2023-03-04T16-40-03: reconnect = flag to indicate one or more reconnects occurred
2023-03-04T16-40-03: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)], [Latency in Window], [Packet Loss percentage in Window], [Jitter in Window], [Overall Latency Min], [Overall Latency Max], [Latency Min in Window], [Latency Maxin Window], [Latency packet Samples], [Jitter Packet Samples],[reconnect]
10481,X.X.X.X,43609,9773,9773,43609,0,39,90,0,0,0,0,0,90,0.000000,2,90,90,90,90,34,34,1
20483,X.X.X.X,55664,22346,12573,12055,0,112,124,0,0,0,0,0,124,0.000000,3,124,124,124,124,107,107,0
30490,X.X.X.X,73997,37343,14997,18333,0,185,126,0,0,0,0,0,126,0.000000,3,126,126,126,126,180,180,0
40493,X.X.X.X,117109,46763,9420,43112,0,273,127,0,0,0,0,0,127,0.000000,3,127,127,127,127,268,268,0
50497,X.X.X.X,137274,56173,9410,20165,0,418,133,0,0,0,0,0,133,0.000000,5,133,133,133,133,412,412,0
60501,X.X.X.X,162751,67281,11108,25477,0,578,151,0,0,0,0,0,151,0.000000,4,151,151,151,151,571,571,0
70507,X.X.X.X,200679,82652,15371,37928,0,800,133,0,0,0,0,0,133,0.000000,3,133,133,133,133,795,795,0
80511,X.X.X.X,236001,97879,15227,35322,0,1022,144,0,0,0,0,0,144,0.000000,8,144,144,144,144,1015,1015,0
90511,X.X.X.X,282553,115591,17712,46552,0,1281,136,0,0,0,0,0,136,0.000000,3,136,136,136,136,1274,1274,0
100516,X.X.X.X,309812,128371,12780,27259,0,1467,128,0,0,0,0,0,128,0.000000,3,128,128,128,128,1462,1462,0
110522,X.X.X.X,340596,141885,13514,30784,0,1663,153,0,0,0,0,0,153,0.000000,3,153,153,153,153,1653,1653,0
120525,X.X.X.X,392608,160992,19107,52012,0,1938,135,0,0,0,0,0,135,0.000000,4,135,135,135,135,1930,1930,0
130525,X.X.X.X,470875,181691,20699,78267,0,2237,133,0,0,0,0,0,133,0.000000,3,133,133,133,133,2229,2229,0
140528,X.X.X.X,550938,201243,19552,80063,0,2517,133,0,0,0,0,0,133,0.000000,3,133,133,133,133,2509,2509,0
150533,X.X.X.X,640440,220893,19650,89502,0,2790,131,0,0,0,0,0,131,0.000000,3,131,131,131,131,2782,2782,0
160534,X.X.X.X,729541,240101,19208,89101,0,3043,128,0,0,0,0,0,128,0.000000,2,128,128,128,128,3037,3037,0
170535,X.X.X.X,812432,258121,18020,82891,0,3279,128,0,0,0,0,0,128,0.000000,3,128,128,128,128,3274,3274,0
180535,X.X.X.X,890955,277061,18940,78523,0,3553,127,0,0,0,0,0,127,0.000000,2,127,127,127,127,3545,3545,0
190540,X.X.X.X,977863,295255,18194,86908,0,3793,127,0,0,0,0,0,127,0.000000,3,127,127,127,127,3787,3787,0
200546,X.X.X.X,1078093,315782,20527,100230,0,4064,133,0,0,0,0,0,133,0.000000,3,133,133,133,133,4057,4057,0
210546,X.X.X.X,1190737,337737,21955,112644,0,4356,127,0,0,0,0,0,127,0.000000,2,127,127,127,127,4348,4348,0
220547,X.X.X.X,1317875,360814,23077,127138,0,4652,128,0,0,0,0,0,128,0.000000,3,128,128,128,128,4644,4644,0
230553,X.X.X.X,1413534,381222,20408,95659,0,4925,128,0,0,0,0,0,128,0.000000,4,128,128,128,128,4918,4918,0
240556,X.X.X.X,1517080,401889,20667,103546,0,5196,128,0,0,0,0,0,128,0.000000,3,128,128,128,128,5189,5189,0
250559,X.X.X.X,1606411,422131,20242,89331,0,5480,128,0,0,0,0,0,128,0.000000,4,128,128,128,128,5473,5473,0
260560,X.X.X.X,1693321,442245,20114,86910,0,5758,128,0,0,0,0,0,128,0.000000,5,128,128,128,128,5752,5752,0
270566,X.X.X.X,1808392,463928,21683,115071,0,6043,127,0,0,0,0,0,127,0.000000,3,127,127,127,127,6036,6036,0
280569,X.X.X.X,1936484,487227,23299,128092,0,6337,127,0,0,0,0,0,127,0.000000,3,127,127,127,127,6328,6328,0
290571,X.X.X.X,2031725,506483,19256,95241,0,6592,140,0,0,0,0,0,140,0.000000,4,140,140,140,140,6585,6585,0
300571,X.X.X.X,2110916,523553,17070,79191,0,6815,131,0,0,0,0,0,131,0.000000,4,131,131,131,131,6808,6808,0
310573,X.X.X.X,2211059,541436,17883,100143,0,7033,136,0,0,0,0,0,136,0.000000,3,136,136,136,136,7026,7026,0
320579,X.X.X.X,2284785,559628,18192,73726,0,7284,133,0,0,0,0,0,133,0.000000,3,133,133,133,133,7277,7277,0
330583,X.X.X.X,2376189,577528,17900,91404,0,7507,127,0,0,0,0,0,127,0.000000,3,127,127,127,127,7501,7501,0
340584,X.X.X.X,2476615,598176,20648,100426,0,7781,148,0,0,0,0,0,148,0.000000,4,148,148,148,148,7773,7773,0
