game.frametime_average,game.frametime_variance,game.time,network.acks_received,network.acks_sent,network.adapter,network.bytes_received,network.bytes_sent,network.connects,network.connects_received,network.connects_rejected,network.connects_sent,network.disconnects,network.messages_limited,network.messages_received,network.messages_redundant,network.messages_resent,network.messages_sent,network.never_connected,network.packets_acked,network.packets_limited,network.packets_lost,network.packets_outofseq,network.packets_received,network.packets_sent,network.peer_address,network.peer_port,network.processing_time,network.reconnects,network.reconnects_rejected,network.rtt_average,network.rtt_jitter,network.status,player.id,stats.duration,stats.version,
0.032414,0.002850,0.064867,34,212,Ethernet,43609,9773,1,4,0,4,0,0,2694,0,0,54,0,34,0,0,0,246,251,162.249.77.193,5184,0.010521,0,0,0.123113,0.004725,Connected,150742302,10.481314,7,
0.005584,0.000008,0.064867,73,182,Ethernet,12055,12573,0,0,0,0,0,0,369,0,0,74,0,73,0,0,0,255,255,162.249.77.193,5184,0.005025,0,0,0.120441,0.003754,Connected,150742302,10.002418,7,
0.005575,0.000008,0.064867,73,209,Ethernet,18333,14997,0,0,0,0,0,0,928,0,0,75,0,73,0,0,0,282,282,162.249.77.193,5184,0.005369,0,0,0.120216,0.004061,Connected,150742302,10.006588,7,
0.007217,0.000058,10.160958,88,188,Ethernet,43112,9420,0,0,0,0,0,0,1297,0,0,99,0,88,0,0,0,276,276,162.249.77.193,5184,0.006113,0,0,0.121615,0.004965,Connected,150742302,10.002730,7,
0.006962,0.000000,20.164841,144,150,Ethernet,20165,9410,0,0,0,0,0,0,417,0,0,161,0,144,0,0,0,294,295,162.249.77.193,5184,0.006700,0,0,0.123085,0.004057,Connected,150742302,10.004260,7,
0.006957,0.000000,30.168825,159,176,Ethernet,25477,11108,0,0,0,0,0,0,528,0,0,188,0,159,0,0,0,335,336,162.249.77.193,5184,0.007572,0,0,0.134588,0.005355,Connected,150742302,10.004353,7,
0.006987,0.000001,40.173550,224,237,Ethernet,37928,15371,0,0,0,0,0,0,702,0,0,291,0,224,0,0,0,461,459,162.249.77.193,5184,0.010406,0,0,0.140080,0.004952,Connected,150742302,10.005366,7,
0.006962,0.000000,50.176853,220,214,Ethernet,35322,15227,0,0,0,0,0,0,655,0,0,283,0,220,0,0,0,434,436,162.249.77.193,5184,0.009792,0,0,0.127337,0.006162,Connected,150742302,10.004167,7,
0.006974,0.000000,60.177349,258,251,Ethernet,46552,17712,0,0,0,0,0,0,969,0,0,329,0,259,0,0,0,509,510,162.249.77.193,5184,0.011779,0,0,0.124977,0.003978,Connected,150742302,10.000719,7,
0.006982,0.000000,70.182076,188,193,Ethernet,27259,12780,0,0,0,0,0,0,442,0,0,214,0,188,0,0,0,381,379,162.249.77.193,5184,0.008629,0,0,0.128506,0.003939,Connected,150742302,10.004986,7,
0.006983,0.000000,80.188499,191,205,Ethernet,30784,13514,0,0,0,0,0,0,566,0,0,242,0,191,0,0,0,396,401,162.249.77.193,5184,0.009091,0,0,0.129807,0.004736,Connected,150742302,10.006006,7,
0.007005,0.000000,90.191124,277,278,Ethernet,52012,19107,0,0,0,0,0,0,898,0,0,356,0,277,0,0,0,555,553,162.249.77.193,5184,0.013036,0,0,0.131636,0.004512,Connected,150742302,10.002463,7,
0.007092,0.000000,100.193466,299,303,Ethernet,78267,20699,0,0,0,0,0,0,1474,0,0,389,0,299,0,0,0,602,602,162.249.77.193,5184,0.015192,0,0,0.129900,0.004396,Connected,150742302,10.000258,7,
